"Date";"D0";"Value"
"2018-11";"OBB";"2.6961"
"2018-11";"MBB";"1.0152"
"2018-11";"FH";"1.3868"
"2018-11";"FI";"1.6418"
"2018-12";"K";"4.404"
"2018-12";"OBB";"2.7013"
"2018-12";"MBB";"1.0077"
"2018-12";"FH";"1.3078"
"2018-12";"FI";"1.651"
"2019-01";"K";"4.522"
"2019-01";"OBB";"2.628"
"2019-01";"MBB";"1.0312"
"2019-01";"FH";"1.2982"
"2019-01";"FI";"1.6659"
"2019-02";"K";"4.5839"
"2019-02";"OBB";"2.5922"
"2019-02";"MBB";"1.0361"
"2019-02";"FH";"1.2701"
"2019-02";"FI";"1.6365"
"2019-03";"K";"4.6009"
"2019-03";"OBB";"2.6071"
"2019-03";"MBB";"1.0398"
"2019-03";"FH";"1.2597"
"2019-03";"FI";"1.6521"
"2019-04";"K";"4.5777"
"2019-04";"OBB";"2.5483"
"2019-04";"MBB";"1.042"
"2019-04";"FH";"1.2381"
"2019-04";"FI";"1.6371"
"2019-05";"K";"4.7879"
"2019-05";"OBB";"2.5958"
"2019-05";"MBB";"1.0268"
"2019-05";"FH";"1.272"
"2019-05";"FI";"1.6065"
"2019-06";"K";"4.7918"
"2019-06";"OBB";"2.5673"
"2019-06";"MBB";"1.0176"
"2019-06";"FH";"1.2034"
"2019-06";"FI";"1.6563"
"2019-07";"K";"4.8077"
"2019-07";"OBB";"2.514"
"2019-07";"MBB";"1.0107"
"2019-07";"FH";"1.1919"
"2019-07";"FI";"1.616"
"2019-08";"K";"4.6932"
"2019-08";"OBB";"2.5615"
"2019-08";"MBB";"1.037"
"2019-08";"FH";"1.1637"
"2019-08";"FI";"1.6414"
"2019-09";"K";"4.6908"
"2019-09";"OBB";"2.5872"
"2019-09";"MBB";"1.0139"
"2019-09";"FH";"1.1484"
"2019-09";"FI";"1.6034"
"2019-10";"K";"4.5961"
"2019-10";"OBB";"2.5284"
"2019-10";"MBB";"0.99288"
"2019-10";"FH";"1.1503"
"2019-10";"FI";"1.5887"
"2019-11";"K";"4.5704"
"2019-11";"OBB";"2.5535"
"2019-11";"MBB";"0.99755"
"2019-11";"FH";"1.1343"
"2019-11";"FI";"1.5567"
"2019-12";"K";"4.404"
"2019-12";"OBB";"2.4932"
"2019-12";"MBB";"0.96569"
"2019-12";"FH";"1.1263"
"2019-12";"FI";"1.594"
"2020-01";"K";"4.4685"
"2020-01";"OBB";"2.5616"
"2020-01";"MBB";"0.94539"
"2020-01";"FH";"1.1459"
"2020-01";"FI";"1.6928"
"2020-02";"K";"4.4659"
"2020-02";"OBB";"2.6438"
"2020-02";"MBB";"0.96601"
"2020-02";"FH";"1.1266"
"2020-02";"FI";"1.5505"
"2020-03";"K";"4.4026"
"2020-03";"OBB";"2.5666"
"2020-03";"MBB";"0.95179"
"2020-03";"FH";"1.1119"
"2020-03";"FI";"1.5502"
"2020-04";"K";"4.3647"
"2020-04";"OBB";"2.5938"
"2020-04";"MBB";"0.97515"
"2020-04";"FH";"1.1072"
"2020-04";"FI";"1.5335"
"2020-05";"K";"4.6053"
"2020-05";"OBB";"2.6025"
"2020-05";"MBB";"0.97585"
"2020-05";"FH";"1.1217"
"2020-05";"FI";"1.4535"
"2020-06";"K";"4.6871"
"2020-06";"OBB";"2.5407"
"2020-06";"MBB";"0.97263"
"2020-06";"FH";"1.1374"
"2020-06";"FI";"1.538"
"2020-07";"K";"4.6144"
"2020-07";"OBB";"2.5628"
"2020-07";"MBB";"0.99885"
"2020-07";"FH";"1.1497"
"2020-07";"FI";"1.5245"
"2020-08";"K";"4.4071"
"2020-08";"OBB";"2.5806"
"2020-08";"MBB";"0.9614"
"2020-08";"FH";"1.1347"
"2020-08";"FI";"1.4802"
"2020-09";"K";"4.4544"
"2020-09";"OBB";"2.5395"
"2020-09";"MBB";"0.92278"
"2020-09";"FH";"1.1351"
"2020-09";"FI";"1.5306"
"2020-10";"K";"4.5352"
"2020-10";"OBB";"2.5415"
"2020-10";"MBB";"0.9709"
"2020-10";"FH";"1.0998"
"2020-10";"FI";"1.4971"
"2020-11";"K";"4.4932"
"2020-11";"OBB";"2.5561"
"2020-11";"MBB";"0.94058"
"2020-11";"FH";"1.1169"
"2020-11";"FI";"1.4699"
"2020-12";"K";"4.2034"
"2020-12";"OBB";"2.5714"
"2020-12";"MBB";"0.94068"
"2020-12";"FH";"1.0962"
"2020-12";"FI";"1.5498"
"2021-01";"K";"4.0964"
"2021-01";"OBB";"2.5357"
"2021-01";"MBB";"0.91919"
"2021-01";"FH";"1.1081"
"2021-01";"FI";"1.5562"
"2021-02";"K";"4.4089"
"2021-02";"OBB";"2.5108"
"2021-02";"MBB";"0.93134"
"2021-02";"FH";"1.0842"
"2021-02";"FI";"1.4898"
"2021-03";"K";"4.4862"
"2021-03";"OBB";"2.4214"
"2021-03";"MBB";"0.90088"
"2021-03";"FH";"1.1514"
"2021-03";"FI";"1.5612"
"2021-04";"K";"4.4321"
"2021-04";"OBB";"2.5544"
"2021-04";"MBB";"0.91284"
"2021-04";"FH";"1.1231"
"2021-04";"FI";"1.4906"
"2021-05";"K";"4.5799"
"2021-05";"OBB";"2.5581"
"2021-05";"MBB";"0.96981"
"2021-05";"FH";"1.1353"
"2021-05";"FI";"1.4643"
"2021-06";"K";"4.6113"
"2021-06";"OBB";"2.4081"
"2021-06";"MBB";"0.92398"
"2021-06";"FH";"1.1243"
"2021-06";"FI";"1.5343"
"2021-07";"K";"4.5209"
"2021-07";"OBB";"2.4583"
"2021-07";"MBB";"0.94063"
"2021-07";"FH";"1.1685"
"2021-07";"FI";"1.4778"
"2021-08";"K";"4.2181"
"2021-08";"OBB";"2.4871"
"2021-08";"MBB";"0.95748"
"2021-08";"FH";"1.146"
"2021-08";"FI";"1.4754"
"2021-09";"K";"4.5286"
"2021-09";"OBB";"2.5961"
"2021-09";"MBB";"0.91791"
"2021-09";"FH";"1.1088"
"2021-09";"FI";"1.4967"
"2021-10";"K";"4.5183"
"2021-10";"OBB";"2.3988"
"2021-10";"MBB";"0.91714"
"2021-10";"FH";"1.1502"
"2021-10";"FI";"1.4488"
"2021-11";"K";"4.4305"
"2021-11";"OBB";"2.4035"
"2021-11";"MBB";"0.90832"
"2021-11";"FH";"1.144"
"2021-11";"FI";"1.4358"
"2021-12";"K";"4.2322"
"2021-12";"OBB";"2.4455"
"2021-12";"MBB";"0.91065"
"2021-12";"FH";"1.1097"
"2021-12";"FI";"1.5338"
"2022-01";"K";"4.1107"
"2022-01";"OBB";"2.4341"
"2022-01";"MBB";"0.9123"
"2022-01";"FH";"1.1347"
"2022-01";"FI";"1.4199"
"2022-02";"K";"4.3007"
"2022-02";"OBB";"2.4872"
"2022-02";"MBB";"0.92263"
"2022-02";"FH";"1.2186"
"2022-02";"FI";"1.4285"
"2022-03";"K";"4.2832"
"2022-03";"OBB";"2.375"
"2022-03";"MBB";"0.91166"
"2022-03";"FH";"1.2474"
"2022-03";"FI";"1.5435"
"2022-04";"K";"4.2766"
"2022-04";"OBB";"2.4429"
"2022-04";"MBB";"0.92088"
"2022-04";"FH";"1.3449"
"2022-04";"FI";"1.4607"
"2022-05";"K";"4.4438"
"2022-05";"OBB";"2.4805"
"2022-05";"MBB";"0.93795"
"2022-05";"FH";"1.4804"
"2022-05";"FI";"1.4795"
"2022-06";"K";"4.5401"
"2022-06";"OBB";"2.4382"
"2022-06";"MBB";"0.94293"
"2022-06";"FH";"1.6538"
"2022-06";"FI";"1.6296"
"2022-07";"K";"4.4891"
"2022-07";"OBB";"2.4144"
"2022-07";"MBB";"1.0101"
"2022-07";"FH";"1.7125"
"2022-07";"FI";"1.5446"
"2022-08";"K";"4.3691"
"2022-08";"OBB";"2.4908"
"2022-08";"MBB";"0.9741"
"2022-08";"FH";"1.6886"
"2022-08";"FI";"1.5554"
"2022-09";"K";"4.227"
"2022-09";"OBB";"2.4651"
"2022-09";"MBB";"1.1364"
"2022-09";"FH";"1.9787"
"2022-09";"FI";"2.0667"
"2022-10";"K";"4.3407"
"2022-10";"OBB";"2.5049"
"2022-10";"MBB";"1.4125"
"2022-10";"FH";"1.9994"
"2022-10";"FI";"2.0007"
"2022-11";"K";"4.3041"
"2022-11";"OBB";"2.534"
"2022-11";"MBB";"1.4166"
"2022-11";"FH";"2.0084"
